Indicator,Country Name,1993,1996,1999,2002,2005,2008,2011,2014,2017,2020
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",St. Vincent and the Grenadines,19.90198884,20.05605524,19.90198884,20.05605524,19.90198884,20.05605524,19.03173268,20.05605524,20.73036472,20.05605524
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Sudan,51.32188604,46.72140545,51.32188604,46.72140545,51.32188604,46.72140545,54.42324069,46.72140545,53.48836405,46.72140545
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Suriname,23.88703156,22.592664,23.88703156,22.592664,23.88703156,22.592664,20.81608138,22.592664,22.80583417,22.592664
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Sweden,7.30670874,6.454065914,7.30670874,6.454065914,7.30670874,6.454065914,7.469532494,6.454065914,5.693011634,6.454065914
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Switzerland,13.06616084,10.60883998,13.06616084,10.60883998,13.06616084,10.60883998,13.81779708,10.60883998,9.854778198,10.60883998
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Syrian Arab Republic,31.16942288,32.65425575,31.16942288,32.65425575,31.16942288,32.65425575,32.78115955,32.65425575,31.4019564,32.65425575
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Tajikistan,32.78807708,39.63461873,32.78807708,39.63461873,32.78807708,39.63461873,46.03697934,39.63461873,38.4793437,39.63461873
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Tanzania,24.91499035,27.20432638,24.91499035,27.20432638,24.91499035,27.20432638,28.24026641,27.20432638,25.3263334,27.20432638
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Thailand,35.32246182,29.43028859,35.32246182,29.43028859,35.32246182,29.43028859,29.91406001,29.43028859,26.93362982,29.43028859
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Timor-Leste,16.77624805,16.18184039,16.77624805,16.18184039,16.77624805,16.18184039,16.40831114,16.18184039,15.69097484,16.18184039
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Togo,43.52693562,40.66206069,43.52693562,40.66206069,43.52693562,40.66206069,43.41716078,40.66206069,46.51135326,40.66206069
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Tonga,10.91209119,10.6865204,10.91209119,10.6865204,10.91209119,10.6865204,10.6046872,10.6865204,10.723832,10.6865204
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Trinidad and Tobago,19.3594652,20.63455256,19.3594652,20.63455256,19.3594652,20.63455256,19.82404669,20.63455256,21.3879586,20.63455256
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Tunisia,31.66796588,32.50654257,31.66796588,32.50654257,31.66796588,32.50654257,31.08552131,32.50654257,29.84147507,32.50654257
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Turkiye,25.96758518,27.78269564,25.96758518,27.78269564,25.96758518,27.78269564,27.60700271,27.78269564,26.28925045,27.78269564
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Turkmenistan,21.93514106,30.61966084,21.93514106,30.61966084,21.93514106,30.61966084,32.27881291,30.61966084,27.12775327,30.61966084
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Tuvalu,5.857286137,5.553116321,5.857286137,5.553116321,5.857286137,5.553116321,5.379974113,5.553116321,6.001982186,5.553116321
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Uganda,36.4345178,40.76668868,36.4345178,40.76668868,36.4345178,40.76668868,41.56924447,40.76668868,38.52500218,40.76668868
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Ukraine,18.99706651,17.26757325,18.99706651,17.26757325,18.99706651,17.26757325,18.1284545,17.26757325,14.51117826,17.26757325
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",United Arab Emirates,43.18399077,41.09563287,43.18399077,41.09563287,43.18399077,41.09563287,45.90353609,41.09563287,43.82369016,41.09563287
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",United Kingdom,13.33739937,10.88658588,13.33739937,10.88658588,13.33739937,10.88658588,12.99522944,10.88658588,10.35539774,10.88658588
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",United States,10.91341302,8.433002378,10.91341302,8.433002378,10.91341302,8.433002378,9.26299254,8.433002378,7.74468451,8.433002378
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Uruguay,9.082839158,9.886206715,9.082839158,9.886206715,9.082839158,9.886206715,9.677654528,9.886206715,9.535755186,9.886206715
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Uzbekistan,31.30170584,37.5033592,31.30170584,37.5033592,31.30170584,37.5033592,41.43852028,37.5033592,35.06871307,37.5033592
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Vanuatu,12.48759874,13.03072112,12.48759874,13.03072112,12.48759874,13.03072112,13.22117063,13.03072112,12.8929333,13.03072112
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Venezuela, RB",20.93139471,21.94482038,20.93139471,21.94482038,20.93139471,21.94482038,24.33177624,21.94482038,21.45612493,21.94482038
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Viet Nam,26.45818252,22.34041158,26.45818252,22.34041158,26.45818252,22.34041158,23.78443184,22.34041158,20.47951266,22.34041158
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Virgin Islands (U.S.),7.884689012,7.804119282,7.884689012,7.804119282,7.884689012,7.804119282,7.284503794,7.804119282,8.824996753,7.804119282
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",West Bank and Gaza,32.92590812,34.50384906,32.92590812,34.50384906,32.92590812,34.50384906,33.87448361,34.50384906,32.14535358,34.50384906
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Yemen, Rep.",43.50002991,43.69608477,43.50002991,43.69608477,43.50002991,43.69608477,48.88552552,43.69608477,46.44225626,43.69608477
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Zambia,26.10704001,27.34918603,26.10704001,27.34918603,26.10704001,27.34918603,28.11089482,27.34918603,26.18112194,27.34918603
"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Zimbabwe,23.60684227,26.14668826,23.60684227,26.14668826,23.60684227,26.14668826,26.25681984,26.14668826,22.58245063,26.14668826
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Afghanistan,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Albania,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Algeria,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",American Samoa,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Andorra,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Angola,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Argentina,107000000,363000000,571000000,941000000,1362000000,1618000000,2155000000,2719000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Armenia,0,0,0,0,0,2000000,3000000,4000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Aruba,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Australia,681000000,954000000,1195000000,1997000000,4794000000,7817000000,9718000000,18622000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Austria,1343000000,1574000000,1649000000,1668000000,3936000000,6344000000,6627000000,8934000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Azerbaijan,0,0,0,0,0,0,0,92000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)","Bahamas, The",0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Bahrain,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Bangladesh,0,0,0,0,0,0,0,149000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Barbados,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Belarus,0,0,0,0,1000000,34000000,96000000,130000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Belgium,253000000,322000000,509000000,778000000,1818000000,4008000000,8181000000,11921000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Belize,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Benin,0,0,0,0,0,3000000,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Bermuda,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Bhutan,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Bolivia,43000000,47000000,52000000,54000000,56000000,97000000,122000000,201000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Botswana,0,0,0,0,0,0,0,1000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Brazil,4954000000,6754000000,8368000000,10280000000,13684000000,20654000000,34939000000,58221000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",British Virgin Islands,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Brunei Darussalam,0,0,0,0,0,0,2000000,2000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Bulgaria,0,0,0,0,5000000,138000000,1018000000,2783000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Burkina Faso,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Burundi,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Cabo Verde,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Cambodia,0,0,0,1000000,15000000,19000000,23000000,20000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Cameroon,0,0,0,0,0,77000000,61000000,72000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Canada,4879000000,5906000000,8457000000,9458000000,10577000000,10974000000,20986000000,37211000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Cayman Islands,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Central African Republic,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Chad,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Channel Islands,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Chile,1750000000,1738000000,1010000000,1951000000,1797000000,3121000000,5011000000,7250000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",China,143000000,1640000000,3031000000,3467000000,7434000000,29803000000,1.00573E+11,2.2984E+11,3.4084E+11,5.01E+11
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Colombia,389000000,496000000,457000000,491000000,552000000,591000000,2040000000,2196000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Comoros,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)","Congo, Dem. Rep.",0,0,0,0,0,0,0,9000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)","Congo, Rep.",0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Costa Rica,485000000,544000000,909000000,1433000000,1423000000,1411000000,1834000000,2457000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Cote d'Ivoire,0,0,0,0,110000000,118000000,64000000,70000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Croatia,19000000,9000000,9000000,0,24000000,61000000,256000000,930000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Cuba,887000000,922000000,881000000,939000000,420000000,564000000,474000000,674000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Curacao,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Cyprus,0,0,0,0,1000000,15000000,178000000,317000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Czechia,161000000,292000000,677000000,506000000,752000000,1707000000,5285000000,7263000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Denmark,1579000000,2060000000,4348000000,6757000000,9789000000,10070000000,14164000000,17976000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Djibouti,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Dominica,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Dominican Republic,35000000,40000000,28000000,24000000,22000000,22000000,56000000,772000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Ecuador,0,0,0,0,103000000,211000000,281000000,495000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)","Egypt, Arab Rep.",0,0,24000000,204000000,552000000,913000000,1747000000,1691000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",El Salvador,380000000,431000000,598000000,993000000,1140000000,1693000000,1817000000,1997000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Equatorial Guinea,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Eritrea,0,0,1000000,1000000,1000000,2000000,2000000,2000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Estonia,0,5000000,12000000,24000000,89000000,169000000,1149000000,1362000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Eswatini,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Ethiopia,0,0,20000000,0,0,14000000,37000000,499000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Faroe Islands,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Fiji,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Finland,5963000000,5901000000,8413000000,9054000000,9684000000,10669000000,11730000000,12874000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",France,1976000000,2431000000,2892000000,3809000000,4845000000,10172000000,19608000000,28977000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",French Polynesia,0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Gabon,8000000,7000000,7000000,7000000,8000000,8000000,9000000,12000000,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)","Gambia, The",0,0,0,0,0,0,0,0,0,0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",Georgia,0,0,0,0,0,0,0,0,0,0
